School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2014-15,Q202,27Q308,Robert H. Goddard High School of Communication Art,Q308,138-30 LAFAYETTE STREET,Q,27,602,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11417,40.67124,-73.845141,10,32,58,4245993,4114030001,Ozone Park                                                                 
2014-15,Q202,,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,,138-30 LAFAYETTE STREET,Q,27,1659,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,0,9,8,3,4,8C,1501-1750,0.82,2.97,5.58,1.79,1.67,QUEENS   ,11417,40.67124,-73.845141,10,32,58,4245993,4114030001,Ozone Park                                                                 
2014-15,Q203,26Q203,P.S. 203 Oakland Gardens,Q203,53-11 SPRINGFIELD BOULEVARD,Q,26,912,,1,P.S. 203 Oakland Gardens,0,0,0,0,0,5C,751-1000,0.46,1.65,2.77,1.17,0.75,QUEENS   ,11364,40.754201,-73.760636,11,23,138501,4161005,4074820317,Oakland Gardens                                                            
2014-15,Q204,30Q204,I.S. 204 Oliver W. Holmes,Q204,36-41 28 STREET,Q,30,590,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11106,40.757065,-73.932664,1,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City                                   
2014-15,Q204,30Q258,Energy Tech High School,Q258,36-41 28 STREET,Q,30,227,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11106,40.757065,-73.932664,1,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City                                   
2014-15,Q204,,36-41 28 STREET CONSOLIDATED LOCATION,,36-41 28 STREET,Q,30,817,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,0,1,4,1,0,5C,751-1000,0.46,1.65,2.77,1.17,0.75,QUEENS   ,11106,40.757065,-73.932664,1,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City                                   
2014-15,Q205,26Q205,P.S. 205 Alexander Graham Bell,Q205,75-25 BELL BOULEVARD,Q,26,321,,1,P.S. 205 Alexander Graham Bell,0,0,1,0,0,3C,251-500,0.27,1.11,1.38,0.8,0.48,QUEENS   ,11364,40.737678,-73.756791,11,23,129103,4164007,4077530001,Oakland Gardens                                                            
2014-15,Q206,28Q206,P.S. 206 The Horace Harding School,Q206,61-02 98 STREET,Q,28,602,,1,P.S. 206 The Horace Harding School,0,0,0,0,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11374,40.734642,-73.860737,6,29,71702,4050414,4020830123,Rego Park                                                                  
2014-15,Q207,27Q207,P.S. 207 Rockwood Park,Q207,159-15 88 STREET,Q,27,738,,1,P.S. 207 Rockwood Park,1,0,2,1,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11414,40.658089,-73.844432,10,32,892,4293311,4140090060,Lindenwood-Howard Beach                                                    
2014-15,Q208,26Q208,P.S. / I.S. 208,Q208,74-30 COMMONWEALTH BLVD,Q,26,703,,1,P.S. / I.S. 208,0,0,1,0,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11426,40.745948,-73.727456,13,23,1567,4529898,4078700070,Bellerose                                                                  
2014-15,Q209,25Q209,P.S. 209 Clearview Gardens,Q209,16-10 UTOPIA PARKWAY,Q,25,618,,1,P.S. 209 Clearview Gardens,0,1,0,1,0,4C,501-750,0.31,1.12,1.82,0.79,0.51,QUEENS   ,11357,40.783608,-73.794654,7,19,1017,4128717,4057340001,Ft. Totten-Bay Terrace-Clearview                                           
2014-15,Q210,27Q210,J.H.S. 210 Elizabeth Blackwell,Q210,93-11 101 AVENUE,Q,27,1901,,1,J.H.S. 210 Elizabeth Blackwell,2,3,4,2,3,9C,1751-2000,0.95,3.35,6.9,2.5,1.45,QUEENS   ,11416,40.683858,-73.84747,9,32,38,4188567,4090670001,Woodhaven                                                                  
